Unnamed: 0,doy,s1_vv,s1_vh,s2_ndvi,s2_ndwi,s2_mndwi,flood_drain_franc,planting_franc,sown,flood_cat,y_ph,y_fd
84,246,-9.684808929415006,-13.788124237379364,-0.0175249846673036,-0.0052976322659103,0.2682627768357409,,,,,0.08450704225352113,
85,249,-9.979696462400282,-18.107344446762365,0.6505761170673412,-0.5043735413703411,-0.2025305469124441,,,,,0.07042253521126762,
86,251,-9.402279872906076,-17.6592846739634,0.6698255167312089,-0.5285091126899665,-0.27762101921042,,,,,0.05633802816901401,
87,254,-8.536154988664766,-16.987195014764946,0.005272369153551,-0.0229117058425816,0.6038816659882327,,,,,0.04225352112676051,
88,256,-7.958738399170559,-16.53913524196598,0.2968030481494138,-0.2329401870423681,-0.0496267425696424,,,,,0.028169014084507005,
89,259,-10.935078074413074,-16.568128948375996,0.5420013205328587,-0.4170076184213677,-0.1539337238438077,,,,,0.014084507042253502,
90,261,-10.639582915562352,-16.64958880252081,0.2162149714978732,-0.1853147188281314,-0.0948033486178907,,,,,0.0,
91,264,-10.672663901514657,-16.610656777221298,0.5563104632066572,-0.4411265885394914,-0.2227646620457719,,,,,,
92,266,-10.694717892149525,-16.584702093688293,0.5274438812522254,-0.4257715076759527,-0.2318402929075913,,,,,,
93,269,-11.036550037672637,-16.08956823781706,0.4383517161493098,-0.3473328696749478,-0.1656322185446527,,,,,,
94,271,-10.153329650605684,-15.628386162115437,0.4124059309204475,-0.3274625065528158,-0.1747163401549414,,,,,,
95,274,-7.900118903790613,-15.10238579062618,0.4196197385942033,-0.3748826141571698,-0.2772325240986439,,,,,,
96,276,-8.205691577981247,-14.018396661101251,0.009976984614873,-0.0229482972260168,0.5811360365114604,,,,,,
97,279,-8.664050589267196,-12.392412966813858,0.0515610119428544,-0.0421806012101262,0.2052509656788818,,,,,,
98,281,-8.747319114819051,-12.190548965745156,-0.0024594657027131,-0.0142704209088009,0.7002582324757344,,,,,,
99,284,-7.253309110271423,-14.707782694035112,0.2047178131257875,-0.0825404270831311,0.2008684544783606,,,,,,
100,286,-6.7053245466997,-15.68689202915722,0.2960106661472838,-0.2809140017893933,-0.2745715265710167,,,,,,
101,289,-7.198109145490779,-15.358565287629244,0.257517610038308,-0.2256313978333298,-0.2125771429179574,,,,,,
102,291,-7.526632211351498,-15.13968079327726,0.1647617751594436,-0.1581994468554225,-0.1356764129385985,,,,,,
103,294,-9.363467605528411,-14.291850326525465,0.1577279478015402,-0.1788591778798531,-0.2650858965836315,,,,,,
104,296,-8.413171552277737,-14.383740011050929,-0.0174975035662185,-0.0071471939970956,0.0744588111126307,,,,,,
105,299,-8.135698910362402,-14.337601471804838,0.0163700256566954,-0.038152668316335,0.1807542770839288,,,,,,
106,301,-8.333374295072405,-14.24551809029602,-0.0003121127177793,-0.016043433249011,0.0042400793435617,,,,,,
107,304,-8.629887372137407,-14.107393018032791,-0.0085325712076894,-0.0150476276710527,0.1359440989882104,,,,,,
108,309,-9.45853374676748,-16.051050825374727,0.2773230943711233,-0.2572045771062146,-0.3296471406628883,,,,,,
109,311,-9.348909008426654,-15.923941612374517,0.2084960309731236,-0.1740804554058047,-0.2192832604882386,,,,,,
110,314,-9.18447190091542,-15.7332777928742,0.2450202350961617,-0.2185973065048393,-0.2577208915269087,,,,,,
111,316,-9.074847162574594,-15.606168579873987,-0.0349184399108124,0.0164214338213931,0.1512223838011417,,,,,,
112,319,-9.10551763589391,-15.90932033905129,0.218750946507191,-0.1518907623008443,-0.143815190125036,,,,,,
113,321,-10.903776475854256,-17.327826501933785,0.006766431267128,-0.0396696841633439,0.047739322350513,,,,,,
114,324,-9.959693844210191,-17.290826435502353,0.0358409059675243,-0.058719738606004,-0.030633227239034,,,,,,
115,326,-9.330305423114153,-17.266159724548068,0.3193790311626074,-0.2765253591258709,-0.3194141737480401,,,,,,
116,329,-9.03843605040278,-15.359431246399389,0.3227706441824765,-0.2695060769057826,-0.3013580339222256,,,,,,
117,331,-9.5259252078048,-15.470077726085911,0.0463740853159545,-0.0449230552920746,-0.0356484580936795,,,,,,
118,334,-9.649316805390765,-19.398860767341368,-0.0036231510912569,-0.0200943450327396,0.1596942775171224,,,,,,
119,336,-9.296219564493288,-19.28559386232861,0.0439635250921298,-0.0509832988577086,-0.0017098375924159,,,,,,
120,339,-8.766573703147069,-19.11569350480949,0.4091700834416357,-0.3607188674414651,-0.3244263285960751,,,,,,
121,341,-9.69379297002476,-17.266630277338116,0.4205629232239855,-0.3744392080644086,-0.3153442163933192,,,,,,
122,344,-9.562308171623345,-17.46463435230285,0.2665085752631203,-0.2393608075594491,-0.2154063282311982,,,,,,
123,346,-9.125023251807136,-18.1105638927615,0.2253927941451783,-0.2033174166001454,-0.2114164554703946,,,,,,
124,349,-9.666047520950292,-17.06270173924286,0.0240995757131861,-0.0484769118448077,-0.1282456534971599,,,,,,
125,351,-10.026730367045728,-16.36412697023043,0.0382101034714464,-0.0403642357170213,-0.0287302851211685,,,,,,
126,354,-8.449074654541768,-16.7853186436462,-0.0338880716396069,0.0096713386012759,0.2558515015375672,,,,,,
127,356,-9.388466390853129,-17.71000835299301,-0.0316341595821601,-0.0010239821898156,0.1524784553245398,,,,,,
128,359,-9.579968073687334,-18.010819681229975,0.1552632257683948,-0.1063139827784123,-0.0464110881462722,,,,,,
129,361,-9.301773888365863,-17.849286154793536,0.0054529610719931,-0.0262594760345612,0.0625805998142627,,,,,,
130,364,-8.884482610383657,-17.60698586513887,0.0688688571047358,-0.0376698465068038,0.0834723158026754,,,,,,
131,366,-9.161357131690297,-18.464667186745164,-0.0263033255158696,-0.0141856235565083,0.0542826965472586,,,,,,
132,369,-10.344813278144494,-17.881316216538867,0.1476332228984399,-0.095228447947789,-0.0625132380036239,,,,,,
133,371,-9.814309769120868,-17.733404283765537,0.1377646104174423,-0.1288824670844984,-0.1433509066147051,,,,,,
134,374,-9.018554505585428,-17.511536384605545,0.0153758521075744,-0.0390515817926448,-0.0004208092176003,,,,,,
135,376,-8.488050996561801,-17.363624451832216,0.0005827911806172,-0.0147716817171155,0.2112142647895364,,,,,,
136,379,-9.368579267330713,-17.218223539297497,-0.0161837607680497,-0.0392523384464921,0.1297931812044927,,,,,,
137,381,-8.665667196796074,-18.609775239733302,0.196936115242787,-0.1015043602700798,0.0354226440862214,,,,,,
138,384,-9.074350678569912,-18.61013519404158,-0.0414425845638011,0.0037280674177247,0.1265293589704861,,,,,,
139,386,-9.346806333085803,-18.610375163580425,-0.0140105755290277,-0.0275267056095168,-0.0430477155929207,,,,,,
140,389,-9.656826350881651,-17.37228988889577,-0.0135425609453115,0.04658155810353,0.193858285849255,,,,,,
141,391,-9.383754860107477,-16.067440566120656,-0.0086706156285795,-0.0201430702103709,0.1022025896386842,,,,,,
142,394,-8.65817769845935,-16.048959598309125,0.0022628080901379,-0.0350567858595407,0.0195040905138824,,,,,,
143,396,-8.449566791379624,-16.27809397689249,0.2127845911868369,-0.1406805565240726,-0.0392489297113927,,,,,,
